username,resource,req,bloodgroup,contact,cities,tweet
Hellyfan_Khushi,plasma,NEED,NA,"['9248075277', '9848397247']",['Hyderabad'],"Date: 05.05.2021         *Hyderabad*
Urgently required 🅱️➕ve *Plasma donor*. 
No. Of units: 1
Patient Name :- *T. Bhagyalaxmi*
Problem: *COVID Positive*,
Hospital:  Pratima hosp, Kachiguda
Contact: *9248075277/9848397247*

Verified by
Team *Callforblood Foundation*"
allunaseer_,plasma,NEED,NA,"['9849487655', '7674891916']",['Hyderabad'],"💉 Very Urgent Requirement🩸*
*Name:- K.Ramakrishna* 
*Blood Group:- ""O+Positive_Plasma*
*Hospital:- Continent Hospital, JubleeHills, Hyderabad*
*Mobile No:- 9849487655 / 7674891916*
*Reason:- Covid-19 Petient
*💉Verified By Sahaya Foundation*
@KTRTRS @RaoKavitha @hydblooddonors"
Sooreeeee,oxygen,AVAILABLE,NA,['8374325678'],['Hyderabad'],"#OxygenBeds #Hyderabad 
Several oxygen beds available at Legend Hospital, Vanasthallipuram, Hyderabad.
Contact: 8374325678
(personally verified at 4:04 PM, may 5)"
PavanChowdaryK3,oxygen,UNKNOWN,NA,['9963900069'],['Hyderabad'],"FOR OXYGEN CYLINDERS
9963900069 - Tulsi Naidu
Verified

She'll help you with leads

#COVID19 #HYDERABAD"
mrdecognito,oxygen,UNKNOWN,NA,[],['Hyderabad'],"#HYDERABAD 
#Oxygen #Concentrator

Verified✅

+91 88972 65610 Aleem
New Life Medical https://t.co/VnQRHhIGmw"
mrdecognito,oxygen,AVAILABLE,NA,"['7799944427', '9844036971']",['Hyderabad'],"Verified Oxygen concentrator in Hyderabad

7799944427 - will be available by Tuesday.
9844036971 - for emergency cases only!

Personally verified 2nd May 12pm.

@aditya_kondawar

#oxygen #COVID #hyderabad #AndhraPradesh #OxygenConcentrator #CovidResources"
Sireeshanemana1,oxygen,NEED,NA,['9849295154'],['Hyderabad'],"Guys urgently needed... plssss help...
Name-sanjay Parekh
Requirement-oxygen concentrator
Spo2- 84
Hospital - navodaya hospital
Address- hyderabad
Phone number - 9849295154

Please provide verified sources as patient is critical.

@CovidHyderabad @ELister_social @KTRoffice"
NareshKThota,oxygen,UNKNOWN,NA,[],['Hyderabad'],"Happy Children #Hospitals 
Chintal , #Hyderabad
5 ICU Beds
30 Oxygen Beds
Verified 2:32 pm 5th May by @Health9dotin
@RRRMovie @SureshProdns @MythriOfficial @ynakg2"
nikhitareddys,plasma,UNKNOWN,NA,[],['Hyderabad'],"It's verified! 
Contact For plasma donor in Hyd
#Hyderabad #CovidIndia #CovidHelp https://t.co/GytkJiWh3T"
Mujmoh3,oxygen,NEED,NA,[],['Hyderabad'],"Need oxygen cylinder in Chandrayan gutta ,Hyderabad 
Any verified leads ? 
@anusha_puppala @HiHyderabad @revanth_anumula @revathitweets"
pradeep_ism,plasma,NEED,NA,[],['Hyderabad'],"O+ plasma required in Hyderabad. 
Please share verified leads. https://t.co/jdJ3Gq87KC"
notorious_ocene,other,AVAILABLE,NA,['9160668686'],['Hyderabad'],"#COVID #verified  #Hyderabad #Beds
Contact: 9160668686
Service Available: Beds
City: Hyderabad
General beds available at Padmavathi Medical Centre Amberpet
Verified on:  4 May 04:00 pm

RT for reach"
vivekvardan,oxygen,AVAILABLE,NA,['9177972837'],['Hyderabad'],"#SOS
2 Oxygen beds available in Hyderabad

Contact : Prasad Hospital, Nacharam 9177972837 
Note: SPO2 Should be &gt;85%. 

Verified at 8:20 PM 5th May 2021
#COVIDEmergency #Covid19IndiaHelp"
RockingStarSuR5,oxygen,UNKNOWN,NA,['9866940301'],['Hyderabad'],"#Hyderabad - #Oxygen Cylinders 55L and 47L will be stocked in about two hours.
Cash and carry.
Contact - 9866940301

Verified at 7:14 PM on 05.05.2021"
_xxtulipxx_,oxygen,AVAILABLE,NA,['8978709593'],['Hyderabad'],"Beds #Hyderabad

VERIFIED LEADS 10 Oxygen beds and isolation beds are available at Satyam Hospital, Hyderabad. Satyam Hospital, 

Hyderabad. Contact: 8978709593 Verified at: 3:50 PM, 05.05.2021
By telegram team! 

Rt ♻️ Share
#COVID19 #CovidIndiaInfo
#COVIDSecondWave
#Hyderabad"
isoumya1,oxygen,AVAILABLE,NA,['8309943109'],['Hyderabad'],"#SOS
2 Oxygen Beds &amp; 2 Normal Beds available in Hyderabad 

Visit Arke Hospital Kompally, beside PSR Convention. 

Contact : 8309943109
NOTE: Patient SPO2 Should be  &gt;85% 

Verified at 8:18PM 5th May
#COVIDEmergency #Covid19IndiaHelp"
,,,,,,
signup_pawan,oxygen,UNKNOWN,NA,[],['Hyderabad'],"This thread is for verified Oxygen supply in Hyderabad. 🧵

Please note that that supply is very dynamic. Each update is published with a time stamp. We will keep on adding updates to the same thread.👇

For more resources check https://t.co/vE3G5GtNZK"
nb10211,oxygen,AVAILABLE,NA,['9573457056'],['Hyderabad'],"#Oxygen beds are available at Gayathri Hospital, #Kukatpally

5 Oxygen beds were available. 

Contact - 9573457056

Verified on May 5th  1.30

#covidhelp #OxygenEmergency 
 #Hyderabad @HiHyderabad
@charan_tweetz @Purusho50189904 @vasuch1973 
@HiHyderabad 
#CovidHelpHyderabad"
KalyaniMuktevi,oxygen,AVAILABLE,NA,['8309943109'],['Hyderabad'],"#SOS
2 Oxygen Beds &amp; 2 Normal Beds available in Hyderabad 

Visit Arke Hospital Kompally, beside PSR Convention. 

Contact : 8309943109
NOTE: Patient SPO2 Should be  &gt;85% 

Verified at 8:18PM 5th May
#COVIDEmergency #Covid19IndiaHelp

@patrickjannnu @kkmohan73 @ https://t.co/Ub9iK0CtBQ"
khajaAayan,oxygen,AVAILABLE,NA,['9700238886'],['Hyderabad'],"Hyderabad People, Oxygen Cylinders Available 🙏🏻

Contact Pramod : 9700238886 ☎

He got new stock of oxygen cylinders at RTC X Roads, Hyderabad 

Verified personally at 03:40 PM ✔

#Covid19IndiaHelp 
#COVID19India 
#Hyderabad 
#Covid19"
network_covid,oxygen,AVAILABLE,NA,['0849797116'],['Hyderabad'],"Oxygen beds available at Hyderabad.
contact : 08497971166

Verified: 7:48pm 5/05/21"
BadmashBauva,oxygen,UNKNOWN,NA,['9866940301'],['Hyderabad'],"#Hyderabad - #Oxygen Cylinders 55L and 47L will be stocked in about two hours.
Cash and carry.
Contact - 9866940301

Verified at 7:14 PM on 05.05.2021 by Ebad

#ICLUVerifies"
RjAvin,oxygen,AVAILABLE,NA,['91 8519993543'],['Hyderabad'],"Amma #Hospitals
#OxygenBeds
Dilsukhnagar , #Hyderabad
Based on Saturation Levels
Verified at 4:57 pm 5th May by @Health9dotin 

+91 8519993543

For Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad #covidhelp #covidhyderabad #health9 #COVIDEmergency #COVID19 #CovidIndia"
kselvam6,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"Meher Hospital, Hyderabad at 8088917515. _(Last verified: 5 minutes)
 - 25 oxygen beds are available. kindly inform to your circle. Thank you. - Verified Info #SOSHyderabad #Telangana
#CovidResource"
RjAvin,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Wellness Hospital 
Ameerpet , #Hyderabad
4 #OxygenBeds
Patients with spo2 above 90 only.
Verified at : 2:53 pm 5th May by @Health9dotin 

For More Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad

 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19"
Eshu_TBND,oxygen,UNKNOWN,NA,['9866940301'],['Hyderabad'],"@UNTGAPS #Hyderabad - #Oxygen Cylinders 55L and 47L will be stocked in about two hours.
Cash and carry.
Contact - 9866940301

Verified at 7:14 PM on 05.05.2021"
Anamika03663285,oxygen,NEED,NA,[],['Hyderabad'],"Urgently need oxygen in Hyderabad.. 
Please help with verified leads. 
@SonuSood please help.

#OxygenEmergency #COVIDEmergency #Hyderabad"
plasmabot2,plasma,NEED,NA,[],['Hyderabad'],"🚨URGENT 🚨

One of my friend's father is in urgent need of A+ Plasma donor. He is admitted in vasavi hospital Kairathabad ,Hyderabad.
Plz comment with verified leads.

#A+ve #plasma  #Hyderabad #covid
Rt to amplify 🙏🏻"
Sampath36014701,oxygen,AVAILABLE,NA,['9246598086'],['Hyderabad'],"3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246598086 

Verified
#CovidIndia #CovidResource"
PrinceBashaMB,oxygen,AVAILABLE,NA,['8519993543'],['Hyderabad'],"#Verified at 4:20 pm on 2/5/21
#ICUBeds and 2 #OxygenBeds #Available in #Hyderabad #Telangana

Contact- +91-8519993543  taking patients at oxygen level of 85 or above
#covidhyderabad  @MBofficialTeam
@MythriOfficial @SureshProdns @haarikahassine"
mdistaque,oxygen,AVAILABLE,NA,['9246598086'],['Hyderabad'],"@IamRaviT7 @indiacares_2020 @PBnrg @mindspacemafia @AdityaRajKaul @SonuSood @ARanganathan72 3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246598086 

Verified"
mishra_mishra88,oxygen,AVAILABLE,NA,[],['Hyderabad'],"#OxygenRefilling available in #Hyderabad

Oxygen refilling is available at Miyapur side, Hyderabad.
Contact: +91 80196 08670

Verified by: 
#hyderabadcovid"
Niamyheart3,oxygen,AVAILABLE,NA,['9177972837'],['Hyderabad'],"Rabiya Nooreen:
Aditya Hospital, Uppal, Hyderabad.
4 ICU and 10 Oxygen beds available
Contact no - 9177972837

*Verified 4th May, 4:40 Pm*"
DHARAN49527946,plasma,NEED,['AB +'],"['7013103078', '9985907128']",['Hyderabad'],"It’s A Verified Case !!

Need AB +Ve Plasma !!
Place : Virinchi Hospitals,Banjara Hills Hyderabad

If You Have Any Lead Please Contact :
7013103078, 9985907128 !! 👍👍

#Covid19IndiaHelp #Covid19Hyderabad #IndiaFightsCOVID19 https://t.co/HsNValOjHM"
DHARAN49527946,oxygen,AVAILABLE,NA,[],['Hyderabad'],"AVAILABLE - Beds in #Hyderabad. 

200+ Beds with Oxygen available at TRR Medical Institute of Sciences, Hyderabad. Contact: 98490 38188 

Verified at 12:20 AM, today. 

#Covid19IndiaHelp #CovidIndia"
DHARAN49527946,ICU Bed,AVAILABLE,NA,['9177972837'],['Hyderabad'],"AVAILABLE - #ICUBeds in #Hyderabad. 

2 ICU beds available in Prasad Hospital, #Uppal

Contact number: 9177972837

Verified at 7:16 PM, today. 

#Covid19IndiaHelp #COVID19India"
shalini84616530,oxygen,AVAILABLE,NA,['917207443450'],['Hyderabad'],"Indus #Hospitals​
Chaintayapuri , #Hyderabad 
#Oxygenbeds Available
(Saturation above 85)
Verified 4:53 Pm 5th May by @Health9dotin 

+917207443450

For Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad

#covidhelp #OxygenBeds  #covidhyderabad #COVIDEmergency #COVID19"
DHARAN49527946,oxygen,AVAILABLE,NA,['8519993543'],['Hyderabad'],"Available - #Oxygen and #ICU Beds in #HYDERABAD.

Contact 8519993543, Willness Hospital, Ameerpet. 

Verified at 9 AM, today. 

#Covid19IndiaHelp #COVIDEmergencyIndia"
network_covid,oxygen,UNKNOWN,NA,[],['Hyderabad'],"Oxygen cylinders at Hyderabad.
Verified on 4.22 pm 04/05

#Hyderabad 
#Telangana  
#CovidResources #COVID19India 
#COVIDIndiaHelp https://t.co/AA2pbVWYxm"
buttercakelub,ICU Bed,AVAILABLE,NA,['9885471177'],['Hyderabad'],"4 ICU bed available at Gaman health care, Gachibowli #Hyderabad 

Contact: 9885471177

Verified at 1:56 pm  5/5/21"
Uv_Vijay_,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Satyam Hospital, Attapur #Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  4.17pm now
CORONA Warriors

@anusha_puppala 🤝 
@balaexpressTNIE @XpressHyderabad @Ritika63965871 @DonitaJose"
MohammadIrfan4A,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Satyam Hospital, Attapur #Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  4.17pm now
CORONA Warriors
#OxygenBeds
#savehumanity
#ICUBeds #CovidResources @HiHyderabad"
stwwaapp,oxygen,AVAILABLE,NA,['8309943109'],['Hyderabad'],"#COVID #verified  #Hyderabad #Oxygen Beds
Contact: 8309943109
Service Available: Oxygen Beds
City: Hyderabad
Arke hospital Kompally beside psr convention
Verified on:  4 May 07:05 pm

RT for reach"
CatalinaBracho,oxygen,AVAILABLE,NA,['8978709593'],['Hyderabad'],"@542shalini @SonuSood Beds #Hyderabad

VERIFIED LEADS 10 Oxygen beds and isolation beds are available at Satyam Hospital, Hyderabad. Satyam Hospital, 

Hyderabad. Contact: 8978709593 Verified at: 3:50 PM, 05.05.2021
By telegram team! 

Rt ♻️ Share
#COVID19 #CovidIndiaInfo
#COVIDSecondWave
#Hyderabad"
SweetYkarna,oxygen,AVAILABLE,NA,['8978709593'],['Hyderabad'],"@akshay_kumar_d Beds #Hyderabad

VERIFIED LEADS 10 Oxygen beds and isolation beds are available at Satyam Hospital, Hyderabad. Satyam Hospital, 

Hyderabad. Contact: 8978709593 Verified at: 3:50 PM, 05.05.2021
By telegram team! 

Rt ♻️ Share
#COVID19 #CovidIndiaInfo
#COVIDSecondWave
#Hyderabad"
theInutile,plasma,AVAILABLE,NA,['9676230586'],['Hyderabad'],"#Verified #Plasma #Hyderabad 
Plasma exchange is available
Location: Hyderabad
Contact: Deccan Blood Bank (9676230586)
Verified at 9:32pm, 3rd May'2021
#CovidHelp #COVIDEmergency #Covid19IndiaHelp  #CovidResources #CovidSOS #CovidIndia #Plasmahyderabad #Plasma4Covid #PlasmaDonor"
Yaghnesh1,oxygen,AVAILABLE,NA,['91 7993019111'],['Hyderabad'],"Neo care Hospital
Oxygen Beds
Dwaraka Nagar
Based on Saturation
No Ventilators

+91 7993019111

Verified at 5:00 pm 4th May by @Health9dotin

For Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad
 #covidhelp #OxygenBeds #hyderabad #covidhyderabad  #COVIDEmergency #COVID19"
Yaghnesh1,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Avasa Hospitals
1 Oxygen Bed
Saturation Above 80
Manikonda
Verified at : 5:08 pm 4th May by @Health9dotin

For Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad
 
 #covidhelp #OxygenBeds #hyderabad #covidhyderabad #health9 #COVIDEmergency #COVID19"
Yaghnesh1,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Legend Hospitals
Oxygen Beds
Vanasthalipuram
Verified 5:18 Pm 4th May by @Health9dotin

For Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad
 
 #covidhelp #OxygenBeds #hyderabad #covidhyderabad #health9 #COVIDEmergency #COVID19"
Yaghnesh1,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Mehar Hospital
25 Oxygen Beds
Medchal
Verified 5 : 14 pm 4th May by @Health9dotin
 
For Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad 

 #covidhelp #OxygenBeds #hyderabad #covidhyderabad #health9 #COVIDEmergency #COVID19"
Yaghnesh1,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Krishnaveni Multispeciality Hospital 
Oxygen Beds
Hayathnagar
Verified at : 5:00 pm 4th May by @Health9dotin 

For Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad
 #covidhelp #OxygenBeds #hyderabad #covidhyderabad #health9 #COVIDEmergency #COVID19"
Yaghnesh1,oxygen,AVAILABLE,NA,['40 29708086'],['Hyderabad'],"Rishitha Hospitals
2 Oxygen Beds
Saturation Above 90
NO ICU / Ventilators
Verified at : 5:12 pm 4th May by @Health9dotin

040 29708086

For Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad #covidhelp #OxygenBeds #hyderabad #covidhyderabad #health9 #COVIDEmergency #COVID19"
Hyderabadbot,oxygen,AVAILABLE,NA,['8374325678'],['Hyderabad'],"AVAILABLE - #OxygenBeds and #ICUBeds in #Hyderabad #CovidHelpHyderabad

Contact : Legend Hospital.
8374325678

NOTE : No ventilators available

VERIFIED at 9:12 pm, May 2nd"
CVDResourcesBot,oxygen,AVAILABLE,NA,['9291525354'],['Hyderabad'],"#Hyderabad
#Oxygen and ICU beds available at Innova Hospital,Tarnaka,Hyderabad.

Contact:9291525354

#Verified"
Bunny_Fanboy,plasma,AVAILABLE,NA,['0402380225'],['Hyderabad'],"@Siva2andhukuri @alluarjun @hyderabad Kindly call on below👇 given number,I just spoke to her at 11.55pm 5/5..She was asking all patient details !!
#Verified #Plasma #Hyderabad Plasma exchange is available Location: Hyderabad Contact: St. Mother Theresa blood bank (04023802255)"
ManojReddiee,oxygen,AVAILABLE,NA,['91 7995947615'],['Hyderabad'],"Wellness Hospital 
Ameerpet
Oxygen Beds
Spo2 above 90 only

+91 7995947615

Verified at : 5:00 pm 4th May by @Health9dotin

For Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad

 #covidhelp #OxygenBeds #hyderabad #covidhyderabad  #COVIDEmergency #COVID19"
ManojReddiee,oxygen,UNKNOWN,NA,['91 7013160090'],['Hyderabad'],"LEAF MULTISPECIALITY HOSPITAL
2 Oxygen Beds
BORBANDA
Hyderabad(Sp02&gt;85)
Verified at 5:36 Pm 4 th May by @Health9dotin 

+91 7013160090

For Covid Resources 

https://t.co/2YzRweUPob

#covidhelp #OxygenBeds #CovidHydHelp #covidhyderabad @HiHyderabad
 #CovidSOS #CovidIndia #COVID19"
ManojReddiee,oxygen,AVAILABLE,NA,['40 49799999'],['Hyderabad'],"Ankura Hospital​s
2 Room Side Oxygen Beds
Boduppal
Verified 6:17 Pm 4th May by @Health9dotin 

040 49799999

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad
 #covidhelp #OxygenBeds #hyderabad #covidhyderabad  #COVIDEmergency #COVID19"
ManojReddiee,oxygen,AVAILABLE,NA,['919177972837'],['Hyderabad'],"Adithya Hospitals
2 ICU Beds With Oxygen
Verified at 2:22 Pm 5 th May by @Health9dotin 
+919177972837

For Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad
 #covidhelp #OxygenBeds #hyderabad #covidhyderabad #health9 #COVIDEmergency #COVID19"
ManojReddiee,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Ankura Hospital
2 Room Side Oxygen Beds
Boduppal
Verified 2:29 Pm 5th May by @Health9dotin 

For Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad
 #covidhelp #OxygenBeds #hyderabad #covidhyderabad #health9 #COVIDEmergency #COVID19"
ManojReddiee,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Happy Children #Hospitals 
Chintal , #Hyderabad
5 ICU Beds
30 Oxygen Beds
Verified 2:32 pm 5th May by @Health9dotin 

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad
 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,oxygen,AVAILABLE,NA,['40 24202345'],['Hyderabad'],"Krishnaveni Multispeciality Hospital 
#OxygenBeds
Hayathnagar , #Hyderabad
Verified at : 2:38 pm 5th May by @Health9dotin 

040 24202345

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad

 #covidhelp #covidhyderabad #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Mehar Hospital
25 #OxygenBeds
Medchal , #Hyderabad
Verified 2 :24 pm 5th May by @Health9dotin 

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad

 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Legend Hospitals
#OxygenBeds
#ICUBeds
Vanasthalipuram , #Hyderabad
Verified 2:41 Pm 5th May

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad

 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,oxygen,AVAILABLE,NA,[],['Hyderabad'],"VR Hospital
Bowenpally ,#Hyderabad
#OxygenBeds
Up to 5 Ltrs
Verified at 2:56 Pm 5 th May

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad

 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19"
ManojReddiee,oxygen,AVAILABLE,NA,[],['Hyderabad'],"LEAF MULTISPECIALITY HOSPITAL
4 #OxygenBeds
BORBANDA
#Hyderabad(Sp02&gt;85)
Verified at 2:57 Pm 5 th May by @Health9dotin 

For More Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad

 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19"
ManojReddiee,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Leela Hospitals
3 #OxygenBeds #Hyderabad
Motinagar
Based on Saturation &amp; Reports
Verified 3:41 Pm 5th May by @Health9dotin 

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad
 #covidhelp #covidhyderabad #health9 #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,oxygen,AVAILABLE,NA,['91 8978709593'],['Hyderabad'],"Satyam Hospitals
10 Oxygen Beds
#Attapur , #Hyderabad
Verified 3:41 Pm 5th May by @Health9dotin 

+91 8978709593

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad

#covidhelp #covidhyderabad #health9 #COVIDEmergency #COVID19 #COVIDEmergency2021"
__Achiever___,oxygen,AVAILABLE,NA,['7730012233'],['Hyderabad'],"After 8 AM today, 2 Oxygen beds and 3 General beds will be available at Avasa Hospital, Hyderabad 🏥

Contact : 7730012233 ☎

Verified by me at 07:06 AM 👍🏻

#Covid19IndiaHelp #COVID19India 
#COVID19 #Hyderabad"
EyesnWeather,other,AVAILABLE,NA,['9177527173'],['Hyderabad'],"Beds available at Krishnaveni Hospital, Hayathnagar - 9177527173
(verified at 3:50pm)
#Hyderabad"
Sireeshanemana1,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"#Hyderabad
25 Oxygen beds available at Meher Hospital,Hyderabad.
Contact:8088917515.
Please amplify
#Verified"
Irreverent_KUP,plasma,UNKNOWN,NA,['9490616780'],['Hyderabad'],"@vrindaprasad
Please check the below.

For Plasma in Hyderabad, Cyberabad plasma center is doing an excellent job 

Contact - 9490616780 #verified We got leads yesterday and it worked.

#plasmainhyderabad #hyderabadcovid #plasma #Hyderabad https://t.co/oPgg93wjdp"
pluviophilex__,oxygen,UNKNOWN,NA,['9700120384'],['Hyderabad'],"9700120384 this is verified number to get oxygen cylinder in Hyderabad

#OxygenCylinders #CovidHelp #hyderabadcovidhelp"
pluviophilex__,oxygen,AVAILABLE,NA,['7303373374'],['Hyderabad'],"OXYGEN RESOURCE AVAILABLE!
 Name: SIO Covid Task Force 
Contact : 7303373374 
They provide #oxygen refilling and cylinder services to patients having valid prescription and reports Verified by team @hydcovidresources :03/05/2021 09:37 PM 
#Hyderabad #hydcovidresources #CovidIndia"
PonnamMadhav,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"Hello All, FYI Please....... Meher Hospital, Hyderabad at 8088917515. _(Last verified: 5 minutes)
 - 25 oxygen beds are available. kindly inform to your circle. Thank you. #Covid19IndiaHelp #hyderabadcovidhelp"
Karthikmkdp,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"FORWARD AS RECEIVED.. Meher Hospital, Hyderabad at 8088917515. _(Last verified: 5 minutes)
 - 25 oxygen beds are available. kindly inform to your circle. Thank you. - Verified Info #SOSHyderabad #Telangana"
Neelend63144596,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"Meher Hospital, Hyderabad at 8088917515. _ - 25 oxygen beds are available.-- Verified 15 minutes back
#hyderabadcovidhelp"
Neelend63144596,oxygen,AVAILABLE,NA,['7288999960'],['Hyderabad'],"HYDERABAD

5 ICU BEDS AVAILABLE

@VR Multispeciality Hospital, Bowenpally

Contact: 7288999960

Please note that they are only accepting patients with oxygen saturation above 90 only. For those below 90, it is on case to case basis.

Verified at 2.30 pm, 05.05.21"
__taniya_,oxygen,NEED,NA,[],['Hyderabad'],"🆘🆘🆘🆘🆘🆘
Need OXYGEN BED at HYDERABAD @HiHyderabad @hyderabad @GHMCOnline @CommissionrGHMC @Khaleeqrahman any leads ? ONLY VERIFIED strictly 📌📌‼️‼️‼️‼️ numbers circulating online ain’t working! Kinda EMERGENCY

Rt n Amplify for the reach pls 🆘📌📌‼️‼️"
Ayudh_Hyderabad,oxygen,NEED,NA,['9994481181'],[],"#SOSCoimbatore

Urgent Need for an oxygen bed

Patient Name: Venkataramasamy
Age:  62yrs
SpO2 level - 56
Contact No: 9994481181

Please respond with verified information 

#IndiaFightsCorona
#WeShallOvercome"
KAPILIANPoonamK,oxygen,AVAILABLE,NA,['7729949575'],['Hyderabad'],"AVAILABLE - #Hyderabad #Covid19IndiaHelp 

Oxygen and ICU beds are available at Nova ENT hospital, somajiguda.
Contact number- 7729949575 (Srinivasa Rao) 

But they are accepting only 90+ Oxygen Level patients. 

Verified at 7:40 PM."
EyesnWeather,other,UNKNOWN,NA,['9502344633'],['Hyderabad'],"@AnujGurwara @contliving @RjAvin @ActivistTeja @charan_tweetz @HiHyderabad VENTILATOR BED #Hyderabad 

Contact : 9502344633
He will try to provide ventilator bed

Details to provide : 
Name of Patient, 
spO2 level and location.

Verified as of 1:57 AM, 04/05/2021"
Rethi33,other,UNKNOWN,NA,[],"['Hyderabad', 'Delhi']","@ICMRDELHI @MoHFW_INDIA @PIB_India @COVIDNewsByMIB @MIB_India Hello,
We have developed a covid testing software which could detect covid-19 through xray in just 1 minute using lungs x-rays with an accuracy of 95%+. It has been verified by CDFD hyderabad also. kindly help us make it reach to @MoHFW_INDIA . We also have CE Marking certificate"
dheerajkrishna9,oxygen,AVAILABLE,NA,[],['Hyderabad'],"ForFor real-time verified covid beds (Oxygen, ICU, Ventilator) availability in vizag, Guntur, Vijayawada &amp; Hyderabadvisit https://t.co/oJ6r0SdDoY

40+ volunteers @beds_covid are calling hospitals to update availability &amp; pricing #VizagSOS #VizagCovidHelp #vizag @vizagities"
PradeepRao4BJP,other,NEED,NA,[],['Hyderabad'],@SureshzRao @ethicalsid pls kind of very much emergency! Need bed at Hyderabad. Can you all give one verified lead ?
pluviophilex__,oxygen,UNKNOWN,NA,['9700238886'],['Hyderabad'],"For Hyderabad, Oxygen supply.
Just verified personally.
9700238886"
ShahikhShahid1,oxygen,AVAILABLE,NA,['8309943109'],['Hyderabad'],"#SOS
Oxygen Beds available in Hyderabad 

Visit Arke Hospital Kompally, beside PSR Convention. 

Contact : 8309943109

Verified
#COVIDEmergency #Covid19IndiaHelp"
EyesnWeather,oxygen,AVAILABLE,NA,['9381370144'],['Hyderabad'],"Kakatiya Hospital, Uppal
9381370144

Oxygen and regular beds available
Not taking critical patients

*Verified 4th May, 11:26Pm*

May full up fast. Please check.

#Hyderabad #hyderabadcovid #hyderabadcovidhelp"
BloodDonorWorld,plasma,NEED,NA,['9177079923'],['Hyderabad'],"O+ve #plasma NEEDED
Hyderabad Nursing Home, Basheerbagh
9177079923
#BloodMatters #COVIDEmergency #verified @CovidPlasmaIn @BloodDonorWorld @hydblooddonors @BloodAid @BloodDonorsIn  @apblooddonors @WeAreHyderabad @Bloodpointorg  @HiHyderabad @OnePlus_IN @royalenfield"
